,Site,Genus_Code,StartingDate,EndingDate,Interval_Years,Interval,SIG,g.N,g.int,g.slp,g.var,g.R2,g.AIC,s.N,s.int,s.slp,s.pR2,s.AIC,StartingYear,SEC_NAME,N.Rec_Site,MN.RecVal_Site,NA_Site_Reason,N.RecVal_Sec,MN.RecVal_Sec,LOW_CI95.RecVal_Sec,HIGH_CI95.RecVal_Sec,N.RecVal_Sec_SSSS,MN.RecVal_Sec_SSSS,LOW_CI95.RecVal_Sec_SSSS,HIGH_CI95.RecVal_Sec_SSSS,RecSec_NA_Reason,RecData,Enough_G,Enough_S,Enough_GS,Model_Category
17,HAW_SIO_K10,MOSP,4/8/2017,7/17/2019,2.272416153,17-19,HAWK10_1704-1907_MOSP,3,0.393203291,0.73193338,1.89E-05,0.999864947,-21.40746767,3,23.56606892,-2.78E-08,#NAME?,4,2017,HAW_KONA,NA,NA,Taxon Too Rare,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
34,MAI_SIO_K01,POCS,7/10/2015,11/2/2015,0.314852841,15-15,MAIK01_1507-1511_POCS,4,1.154422004,0.413913463,0.034750575,-0.093930363,1.140682894,4,23.56606859,-1.48E-07,#NAME?,4,2015,MAI_LAHAINA,NA,NA,Taxon Too Rare,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,NONE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_NONE
12,HAW_OCC_003,MOSP,8/8/2016,7/13/2019,2.926762491,16-19,HAW003_1608-1907_MOSP,19,0.221297528,0.890345838,0.01896134,0.939803358,-17.53533229,24,-3.183305829,2.213805346,0.273809529,21.83779671,2016,HAW_PUNA,NA,NA,First Interval,8,0.001930165,-0.000139898,0.004000228,8,0.002291235,2.02E-05,0.004562288,Exists,SEC,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_SEC
13,HAW_OCC_003,POCS,8/8/2016,7/13/2019,2.926762491,16-19,HAW003_1608-1907_POCS,5,0.107655227,0.957655659,0.001260377,0.99282542,-15.74646363,5,24.56606618,1.30E-06,#NAME?,4,2016,HAW_PUNA,NA,NA,First Interval,8,0.002445949,-0.000663276,0.005555174,8,0.002291235,2.02E-05,0.004562288,Exists,SEC,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_SEC
68,OAH_OCC_005,MOSP,8/1/2016,10/4/2018,2.173853525,16-18,OAH005_1608-1810_MOSP,4,-0.108553336,1.066412262,0.004654166,0.977850526,-6.901050271,4,23.56606889,-9.19E-10,#NAME?,4,2016,OAH_NE,NA,NA,First Interval,4,0.00393176,-0.001437163,0.009300684,4,0.001377179,0.000127273,0.002627085,Exists,SEC,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_SEC
73,PHR_OCC_016,POSP,9/11/2016,9/4/2019,2.978781656,16-19,PHR016_1609-1909_POSP,18,0.048432697,0.965923202,0.020298815,0.968844527,-15.18777735,28,-1.238180766,1.795201195,0.250482407,31.3561685,2016,Pearl & Hermes,NA,NA,First Interval,20,0.00405001,0.000102274,0.007997745,20,0.00999388,0.001872987,0.018114772,Exists,SEC,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_SEC
61,MAI_SIO_OL3,MOSP,11/4/2015,11/29/2016,1.070499658,15-16,MAIOL3_1511-1611_MOSP,3,1.075958912,0.308744512,0.070131534,0.471883742,3.245646113,3,23.56606889,-2.33E-10,#NAME?,4,2015,MAI_KIHEI,10,0.001042889,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_SITE
58,MAI_SIO_OL3,POCS,7/14/2015,11/4/2015,0.309377139,15-15,MAIOL3_1507-1511_POCS,9,1.645766036,0.040881418,0.135525722,-0.140359941,11.29171929,14,-46.59365918,43.23332749,1,4,2015,MAI_KIHEI,3,0.001799442,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_SITE
45,MAI_SIO_K02,POCS,8/2/2017,9/14/2018,1.117043121,17-18,MAIK02_1708-1809_POCS,3,0.612775514,0.67478238,0.011448803,0.94087715,-2.191816033,4,-1587.580735,2270.273528,0.999999999,4.000000006,2017,MAI_LAHAINA,2,0.014592042,Exists,NA,NA,NA,NA,NA,NA,NA,NA,NoJCD_NoCover,SITE,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_SITE
27,LIS_OCC_005,POSP,9/18/2016,8/30/2019,2.945927447,16-19,LIS005_1609-1908_POSP,15,0.186460761,0.932442955,0.007601782,0.98176924,-26.76894641,22,-2.146386765,1.840350822,0.178807336,26.6005523,2016,Lisianski,7,0.000519345,Exists,16,0.001783274,0.000500909,0.00306564,16,0.001163813,0.000501392,0.001826235,Exists,SITE_AND_SEC,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_SITE_AND_SEC
7,FFS_OCC_014,MOSP,9/2/2016,8/27/2019,2.981519507,16-19,FFS014_1609-1908_MOSP,5,0.033089416,0.878567384,0.028907259,0.941861169,-0.083055429,11,-1.486795377,1.029841632,0.115078166,17.41382501,2016,French Frigate,3,0.004667681,Exists,26,0.018953296,0.00488332,0.033023272,26,0.002475803,0.000644751,0.004306856,Exists,SITE_AND_SEC,NOT,NOT,NOT_ENOUGH,NOT_ENOUGH_SITE_AND_SEC
4,FFS_OCC_002,POSP,9/25/2016,8/28/2019,2.92128679,16-19,FFS002_1609-1908_POSP,16,0.119917085,0.780758766,0.012742067,0.882687152,-20.53601177,132,-2.146891308,0.308314061,0.002646808,101.2458699,2016,French Frigate,60,0.016234264,Exists,26,0.018953296,0.00488332,0.033023272,26,0.002475803,0.000644751,0.004306856,Exists,SITE_AND_SEC,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_SITE_AND_SEC
3,FFS_OCC_002,MOSP,9/25/2016,8/28/2019,2.92128679,16-19,FFS002_1609-1908_MOSP,3,0.287478358,0.762981547,0.000843259,0.991076046,-10.01691432,30,1.578128365,-5.941555041,0.286802986,17.91089235,2016,French Frigate,19,0.0166357,Exists,26,0.000973174,0.000257633,0.001688714,26,0.002475803,0.000644751,0.004306856,Exists,SITE_AND_SEC,NOT,ENOUGH,NOT_ENOUGH,NOT_ENOUGH_SITE_AND_SEC
